serial	track1_filename	md5
SCES-03871	Disney's Lilo & Stitch - Trouble in Paradise (Europe).bin	6c9ea794bcf39c3f2d0710220d656f69
SCES-03872	Disney Lilo & Stitch - Ouragan sur Hawai (France).bin	0b59373743c99b9cd42091e37623fbe5
SCES-03873	Disneys Lilo & Stitch - Zoff auf Hawaii (Germany).bin	e46b548decb554ba594d5501e941f905
SCES-03874	Disney Lilo & Stitch - Grossi Guai alle Hawaii (Italy).bin	c01be086acdb819fc5a5bedb2cae7214
SCES-03875	Disney Lilo & Stitch en Problemas en el Paraiso (Spain).bin	291a4208581aeaa35c17a69f0d20f589
SCES-03876	Disney's Lilo & Stitch - Heisa op Hawai (Netherlands).bin	49776f14f3783ae470287f79c6b119d5
SCES-03877	Disney Lilo & Stitch - Sarilhos no Paraiso (Portugal).bin	8f76295b94b7f0daf9cb6dae00ec27c1
SCES-03878	Disneys Lilo & Stitch - Trubbel i Paradiset (Sweden).bin	e7d1bec26ef25eb63820c829257f4bcf
SCES-03879	Disneys Lilo & Stitch - Ballade pa Hawaii! (Denmark).bin	a19676915595210621fe060febee32a5
SCES-03880	Disneys Lilo & Stitch - Hula Baluba! (Norway).bin	980fd7bc769278f6ced5f009358a3880
SCES-10867	Final Fantasy VII (Europe) (Disc 2).bin	b469faf7e80a1d4c8b51d61472fe9207
SCES-10868	Final Fantasy VII (France) (Disc 2).bin	9ed07f4d39c93569eae8040fa2272f2a
SCES-10869	Final Fantasy VII (Germany) (Disc 2).bin	6a4c56cf2609cdd425e98c2c04fa9291
SCES-10900	Final Fantasy VII (Spain) (Disc 2).bin	4db27f95e9cc45855678eaa3e82bbf57
SCES-11705	Dragon Valor (Europe) (Disc 2) (Track 1).bin	5bab9462e0e04f1d25a4e39021c5352f
SCES-12080	Final Fantasy VIII (Europe, Australia) (Disc 2).bin	896c78acea25074b3e28570726990625
SCES-12285	Syphon Filter 2 (Europe) (Disc 2) (Rev 1).bin	16c7058df6f1985759753fdd3298f1f1
SCES-12286	Syphon Filter 2 (France) (Disc 2) (Rev 1).bin	52ef887d7e25d19f32e964a086bd2476
SCES-12287	Syphon Filter 2 (Germany) (Disc 2).bin	b95f555ddb57978a8b048c0541b61c2c
SCES-12288	Syphon Filter 2 (Italy) (Disc 2) (Rev 1).bin	57ea01fac4a657708e7e99f9e6b58b10
SCES-12565	Dragon Valor (France) (Disc 2) (Track 1).bin	92719c1ce0bcfbfe784301867a7481e2
SCES-12566	Dragon Valor (Germany) (Disc 2) (Track 1).bin	e7e26324c4e6841ff9819e8e48454876
SCES-12567	Dragon Valor (Italy) (Disc 2) (Track 1).bin	12f3dd7568fd38750cd822a4eddae7a9
SCES-12568	Dragon Valor (Spain) (Disc 2) (Track 1).bin	d7aaa19ba72cb6cd7a719743c63c8e0e
SCES-13043	Legend of Dragoon, The (Europe) (Disc 2).bin	50863fc0f489838a68a0a86eb95e4716
SCES-13044	Legend of Dragoon, The (France) (Disc 2).bin	e1026897de96d300804e6175cf317df0
SCES-13045	Legend of Dragoon, The (Germany) (Disc 2).bin	1a4f482f8c4e0f80d68db609fca9cc63
SCES-13046	Legend of Dragoon, The (Italy) (Disc 2).bin	b7523a2b33066d10fa4659bd1f91f9c3
SCES-13047	Legend of Dragoon, The (Spain) (Disc 2).bin	07aa0d210ef4b7e5a82a171a42f114cc
SCES-20867	Final Fantasy VII (Europe) (Disc 3).bin	8538ff9ee95c9e2e029608c2ce787045
SCES-20868	Final Fantasy VII (France) (Disc 3).bin	372ccecdb67fb12a9b4cfbfc19adbf91
SCES-20869	Final Fantasy VII (Germany) (Disc 3).bin	744cf063d2a38e27a1450f6485dcec6d
